% time spent exploring,episodes,mean 100 episode reward,steps
2,61000,1.0,1442432
2,61100,1.0,1444574
2,61200,1.0,1446740
2,61300,1.0,1448912
2,61400,1.0,1451066
2,61500,1.0,1453224
2,61600,1.0,1455374
2,61700,1.0,1457546
2,61800,1.0,1459716
2,61900,1.0,1461894
2,62000,1.0,1464054
2,62100,1.0,1466220
2,62200,1.0,1468348
2,62300,1.0,1470494
2,62400,1.0,1472762
2,62500,1.0,1474968
2,62600,1.0,1477212
2,62700,1.0,1479374
2,62800,1.0,1481978
2,62900,1.0,1484124
2,63000,1.0,1486331
2,63100,1.0,1488475
2,63200,1.0,1490635
2,63300,1.0,1492807
2,63400,1.0,1494949
2,63500,1.0,1497119
2,63600,1.0,1499271
2,63700,1.0,1501417
2,63800,1.0,1503590
2,63900,1.0,1505746
2,64000,1.0,1507902
2,64100,1.0,1510056
2,64200,1.0,1512224
2,64300,1.0,1514390
2,64400,1.0,1516544
2,64500,1.0,1518698
2,64600,1.0,1520844
2,64700,1.0,1523000
2,64800,1.0,1525168
2,64900,1.0,1527336
2,65000,1.0,1529494
2,65100,1.0,1531656
2,65200,1.0,1533810
2,65300,1.0,1535978
2,65400,1.0,1538138
2,65500,1.0,1540302
2,65600,1.0,1542464
2,65700,1.0,1544757
2,65800,1.0,1546911
2,65900,1.0,1549067
2,66000,1.0,1551225
2,66100,1.0,1553389
2,66200,1.0,1555533
2,66300,1.0,1557675
2,66400,1.0,1559805
2,66500,1.0,1561961
2,66600,1.0,1564111
2,66700,1.0,1566263
2,66800,1.0,1568405
2,66900,1.0,1570549
2,67000,1.0,1572695
2,67100,1.0,1574853
2,67200,1.0,1577017
2,67300,1.0,1579171
2,67400,1.0,1581337
2,67500,1.0,1583513
2,67600,1.0,1585657
2,67700,1.0,1587809
2,67800,1.0,1589969
2,67900,1.0,1592113
2,68000,1.0,1594271
2,68100,1.0,1596417
2,68200,1.0,1598559
2,68300,1.0,1600691
2,68400,1.0,1602861
2,68500,1.0,1605017
2,68600,1.0,1607183
2,68700,1.0,1609343
2,68800,1.0,1611501
2,68900,1.0,1613657
2,69000,1.0,1615797
2,69100,1.0,1617931
2,69200,1.0,1620077
2,69300,1.0,1622251
2,69400,1.0,1624457
2,69500,1.0,1626607
2,69600,1.0,1628757
2,69700,1.0,1630917
2,69800,1.0,1633073
2,69900,1.0,1635251
2,70000,1.0,1637393
2,70100,1.0,1639541
2,70200,1.0,1641713
2,70300,1.0,1643873
2,70400,1.0,1646015
2,70500,1.0,1648175
2,70600,1.0,1650317
2,70700,1.0,1652491
2,70800,1.0,1654655
2,70900,1.0,1656805
2,71000,1.0,1658943
2,71100,1.0,1661091
2,71200,1.0,1663273
2,71300,1.0,1665415
2,71400,1.0,1667573
2,71500,1.0,1669701
2,71600,1.0,1671855
2,71700,1.0,1674017
2,71800,1.0,1676167
2,71900,1.0,1678315
2,72000,1.0,1680481
2,72100,1.0,1682641
2,72200,1.0,1684809
2,72300,1.0,1686949
2,72400,1.0,1689105
2,72500,1.0,1691269
2,72600,1.0,1693441
2,72700,1.0,1695601
2,72800,1.0,1697759
2,72900,1.0,1699917
2,73000,1.0,1702069
2,73100,1.0,1704221
2,73200,1.0,1706355
2,73300,1.0,1708509
2,73400,1.0,1710673
2,73500,1.0,1712817
2,73600,1.0,1714983
2,73700,1.0,1717137
2,73800,1.0,1719297
2,73900,1.0,1721467
2,74000,1.0,1723637
2,74100,1.0,1725797
2,74200,1.0,1727935
2,74300,1.0,1730095
2,74400,1.0,1732316
2,74500,1.0,1734464
2,74600,1.0,1736616
2,74700,1.0,1738776
2,74800,1.0,1740938
2,74900,1.0,1743104
2,75000,1.0,1745254
2,75100,1.0,1747416
2,75200,1.0,1749594
2,75300,1.0,1751758
2,75400,1.0,1754038
2,75500,1.0,1756200
2,75600,1.0,1758336
2,75700,1.0,1760492
2,75800,1.0,1762670
2,75900,1.0,1764834
2,76000,1.0,1767026
2,76100,1.0,1769190
2,76200,1.0,1771332
2,76300,1.0,1773492
2,76400,1.0,1775646
2,76500,1.0,1777818
2,76600,1.0,1779952
2,76700,1.0,1782104
2,76800,1.0,1784272
2,76900,1.0,1786418
2,77000,1.0,1788570
2,77100,1.0,1790714
2,77200,1.0,1792870
2,77300,1.0,1795018
2,77400,1.0,1797174
2,77500,1.0,1799332
2,77600,1.0,1801474
2,77700,1.0,1803644
2,77800,1.0,1805792
2,77900,1.0,1807942
2,78000,1.0,1810100
2,78100,1.0,1812316
2,78200,1.0,1814480
2,78300,1.0,1816646
2,78400,1.0,1818798
2,78500,1.0,1820942
2,78600,1.0,1823092
2,78700,1.0,1825246
2,78800,1.0,1827406
2,78900,1.0,1829550
2,79000,1.0,1831692
2,79100,1.0,1833846
2,79200,1.0,1836000
2,79300,1.0,1838138
2,79400,1.0,1840286
2,79500,1.0,1842436
2,79600,1.0,1844590
2,79700,1.0,1846744
2,79800,1.0,1848957
2,79900,1.0,1851123
2,80000,1.0,1853277
2,80100,1.0,1855419
2,80200,1.0,1857569
2,80300,1.0,1859717
2,80400,1.0,1861911
2,80500,1.0,1864063
2,80600,1.0,1866209
2,80700,1.0,1868473
2,80800,1.0,1870621
2,80900,1.0,1872773
2,81000,1.0,1874937
2,81100,1.0,1877081
2,81200,1.0,1879241
2,81300,1.0,1881395
2,81400,1.0,1883563
2,81500,1.0,1885701
2,81600,1.0,1887873
2,81700,1.0,1890017
2,81800,1.0,1892163
2,81900,1.0,1894311
2,82000,1.0,1896445
2,82100,1.0,1898605
2,82200,1.0,1900798
2,82300,1.0,1902942
2,82400,1.0,1905080
2,82500,1.0,1907242
2,82600,1.0,1909390
2,82700,1.0,1911556
2,82800,1.0,1913722
2,82900,1.0,1915894
2,83000,1.0,1918066
2,83100,1.0,1920236
2,83200,1.0,1922388
2,83300,1.0,1924530
2,83400,1.0,1926694
2,83500,1.0,1928862
2,83600,1.0,1931010
2,83700,1.0,1933160
2,83800,1.0,1935312
2,83900,1.0,1937472
2,84000,1.0,1939620
2,84100,1.0,1941768
2,84200,1.0,1943928
2,84300,1.0,1946070
2,84400,1.0,1948228
2,84500,1.0,1950382
2,84600,1.0,1952532
2,84700,1.0,1954700
2,84800,1.0,1956862
2,84900,1.0,1959000
2,85000,1.0,1961152
2,85100,1.0,1963306
2,85200,1.0,1965466
2,85300,1.0,1967618
2,85400,1.0,1969756
2,85500,1.0,1971898
2,85600,1.0,1974042
2,85700,1.0,1976192
2,85800,1.0,1978352
2,85900,1.0,1980496
2,86000,1.0,1982640
2,86100,1.0,1984784
2,86200,1.0,1986942
2,86300,1.0,1989090
2,86400,1.0,1991260
2,86500,1.0,1993432
2,86600,1.0,1995608
2,86700,1.0,1997756
2,86800,1.0,1999924
